restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Angel Mess,Kaggadasapura,Marathahalli,south indian,200.0,3.5,17,Quick Bites,No,No
New Students Corner,Kumaraswamy Layout,Jp Nagar,fast food,150.0,3.6,17,Quick Bites,No,No
RK Garden Family Restaurant,Electronic City,Electronic City,"andhra, chinese, north indian, south indian",600.0,3.5,17,Casual Dining,No,No
Nellore Mess & Tiffens,Whitefield,Whitefield,"south indian, andhra",200.0,3.0,17,Mess,No,No
Hyderabadi Biryaani Hub,Electronic City,Electronic City,"biryani, fast food",300.0,2.7,17,"Takeaway, Delivery",Yes,No
Om's Cafe Prana,Koramangala 7Th Block,Koramangala 5Th Block,"cafe, fast food",300.0,3.6,17,Cafe,No,No
Gelato Italiano,Rt Nagar,Malleshwaram,"ice cream, bakery, desserts",200.0,3.4,17,Dessert Parlor,Yes,No
Cafe Indiana,Bannerghatta Road,Bannerghatta Road,"fast food, desserts",600.0,3.5,17,"Quick Bites, Dessert Parlor",No,No
Kaapi Kendra,Jayanagar,Koramangala 7Th Block,south indian,100.0,3.7,17,Quick Bites,Yes,No
Punjabites,"Varthur Main Road, Whitefield",Whitefield,"north indian, charcoal chicken",400.0,3.6,17,"Takeaway, Delivery",Yes,No
Indiana Burgers,Hsr,Hsr,burger,300.0,3.3,17,Delivery,Yes,No
LayerBite,Btm,Btm,"bakery, desserts, beverages",450.0,4.0,17,Bakery,Yes,No
Cake Dilim,Whitefield,Whitefield,"bakery, desserts",400.0,3.6,17,Dessert Parlor,Yes,No
Polar Bear,Whitefield,Whitefield,"desserts, ice cream, beverages, sandwich",400.0,4.0,17,Dessert Parlor,Yes,No
UBQ by Barbeque Nation,Indiranagar,Old Airport Road,"north indian, bbq, biryani, kebab",450.0,3.6,17,Delivery,Yes,No
La Mensa,Whitefield,Whitefield,"north indian, chinese, south indian",400.0,3.6,17,"Takeaway, Delivery",No,No
Hotel Empark,Wilson Garden,Lavelle Road,"chinese, north indian, arabian",800.0,3.4,16,Casual Dining,Yes,No
Healthy Yummy Food Restaurant,Hsr,Btm,"beverages, north indian, chinese, italian",900.0,3.6,16,Casual Dining,Yes,No
Fitnest,Btm,Jayanagar,"healthy food, north indian",350.0,3.2,16,Delivery,Yes,No
The Cuboidal,Btm,Jayanagar,"fast food, beverages, sandwich",300.0,3.6,16,Quick Bites,Yes,No
Madurai Idly Dosai Centre,Banaswadi,Kammanahalli,south indian,150.0,3.3,16,Quick Bites,No,No
Mummy's Kitchen,Old Airport Road,Indiranagar,"north indian, biryani, chinese",300.0,3.7,16,Quick Bites,Yes,No
Fujian Express,Hsr,Koramangala 6Th Block,"chinese, thai, american, momos",200.0,3.2,16,Quick Bites,Yes,No
Grow Fit,Jp Nagar,Jayanagar,"healthy food, north indian, thai",500.0,3.6,16,"Takeaway, Delivery",Yes,No
Engine,Ulsoor,Indiranagar,"biryani, south indian, north indian, chinese, mughlai",950.0,3.3,16,"Casual Dining, Bar",No,No
Kulfreeze,Jayanagar,Jayanagar,"ice cream, desserts",200.0,3.9,16,Dessert Parlor,No,No
TangyLicious,Btm,Koramangala 6Th Block,fast food,400.0,2.6,16,"Takeaway, Delivery",Yes,No
Eat Sleep Eat Repeat,Koramangala 5Th Block,Koramangala 6Th Block,"chinese, north indian, continental",200.0,3.5,16,Quick Bites,Yes,No
Aathithya,Infantry Road,Mg Road,"north indian, continental, chinese",1100.0,3.1,16,Casual Dining,No,No
Flavours24,Marathahalli,Marathahalli,"desserts, ice cream",250.0,3.3,16,Dessert Parlor,No,No
Lassi Corner,Koramangala 5Th Block,Koramangala 5Th Block,"beverages, desserts",300.0,3.5,16,Beverage Shop,Yes,No
Game Of Pizzas,Koramangala 4Th Block,Koramangala 7Th Block,italian,500.0,3.6,16,Delivery,No,No
Shabari Kitchen,Koramangala 1St Block,Koramangala 4Th Block,"south indian, chinese",150.0,3.5,16,Quick Bites,Yes,No
Fresh Bites,Koramangala 1St Block,Koramangala 4Th Block,"italian, fast food",400.0,3.3,16,Quick Bites,Yes,No
Chai Ki Tapri,Mg Road,Brigade Road,cafe,250.0,3.7,16,Cafe,No,No
Yummerica Fries,Btm,Koramangala 6Th Block,"fast food, beverages",0.0,3.3,16,Quick Bites,No,No
Sbarro,Domlur,Indiranagar,pizza,500.0,3.4,16,Quick Bites,No,No
Lancy Sweets,Electronic City,Electronic City,mithai,200.0,3.7,16,Dessert Parlor,No,No
Paratha Club,New Bel Road,New Bel Road,north indian,200.0,3.6,16,Quick Bites,No,No
Punjab Bistro,Cv Raman Nagar,Old Airport Road,north indian,300.0,3.7,16,Food Court,Yes,No
Udupi Upahar,Koramangala 7Th Block,Koramangala 7Th Block,"south indian, north indian, chinese",300.0,3.6,16,Quick Bites,No,No
Bhandary's Kitchen,Koramangala 7Th Block,Brigade Road,north indian,300.0,3.6,16,Delivery,Yes,No
The Yellow Tuk-Tuk Cafe,Koramangala 5Th Block,Koramangala 7Th Block,"cafe, continental, beverages",500.0,3.6,16,Cafe,Yes,No
MDP Coffee House,Commercial Street,Mg Road,south indian,200.0,3.6,16,Quick Bites,No,No
Aaha Andhra,Brigade Road,Lavelle Road,"andhra, biryani, north indian",900.0,3.6,16,Food Court,No,No
Sri Idli Mane,Basavanagudi,Basavanagudi,south indian,150.0,3.7,16,Quick Bites,No,No
Debby's Kitchen,Frazer Town,Indiranagar,"modern indian, american, chinese",250.0,3.6,16,Quick Bites,Yes,No
Kaka Da Dhaba,Marathahalli,Marathahalli,north indian,400.0,3.1,16,Quick Bites,No,No
Banarasi Tadka,Jeevan Bhima Nagar,Indiranagar,north indian,200.0,2.7,16,Quick Bites,No,No
Spice Corner,Nagawara,Kalyan Nagar,"north indian, chinese, biryani",800.0,3.5,16,Casual Dining,Yes,Yes
Eater's Cart,Rajajinagar,Rajajinagar,"chinese, continental, north indian, south indian",250.0,3.5,16,"Takeaway, Delivery",Yes,No
Khan Saab Hotel,Bommanahalli,Hsr,"north indian, biryani, chinese",300.0,3.1,16,Quick Bites,Yes,No
Flavors Restaurant,Whitefield,Brookefield,"north indian, chinese",700.0,2.9,16,Casual Dining,Yes,No
World In A Bowl,Whitefield,Whitefield,"continental, north indian, desserts, beverages",600.0,3.5,16,Delivery,Yes,No
Chaai Resto,Koramangala 5Th Block,Jayanagar,beverages,300.0,2.7,16,Beverage Shop,No,No
Night Diaries,Whitefield,Whitefield,north indian,300.0,3.1,16,Quick Bites,No,No
Pulp Juice Bar,Hsr,Hsr,"beverages, juices, ice cream",150.0,3.6,16,Beverage Shop,Yes,No
The Brew - Aurick Boutique Hotel,Jp Nagar,Jayanagar,"north indian, south indian, chinese, grill",700.0,3.1,16,Casual Dining,No,No
The Tiffin Express,Koramangala 4Th Block,Koramangala 5Th Block,south indian,250.0,2.6,16,Quick Bites,No,No
Karachi Bakery,Sarjapur Road,Sarjapur Road,"bakery, fast food, desserts",400.0,3.7,16,Bakery,Yes,No
Graffitea,Btm,Jp Nagar,"beverages, fast food",200.0,3.7,16,"Beverage Shop, Quick Bites",Yes,No
Indy Palate,Bellandur,Sarjapur Road,"continental, biryani, italian, north indian, chinese",250.0,3.3,16,Quick Bites,Yes,No
Bhaiya Ji Food Court,Ulsoor,Church Street,"north indian, street food",150.0,3.0,16,Quick Bites,No,No
Invitation Bar & Restaurant,Btm,Koramangala 7Th Block,north indian,1000.0,3.0,16,Bar,No,No
Hasee-E-Shan Makers Of Biryani,Whitefield,Whitefield,"biryani, mughlai, north indian",500.0,3.5,16,Quick Bites,Yes,No
Ooty Chocolates,Whitefield,Whitefield,desserts,300.0,3.6,16,Dessert Parlor,Yes,No
Re Malnad Nati Style Hotel,Jp Nagar,Jayanagar,south indian,400.0,3.6,16,Casual Dining,Yes,No
Sri Vasavi Mane Thindi,Basavanagudi,Basavanagudi,south indian,150.0,2.9,16,Quick Bites,No,No
Palki Grand,Bellandur,Bellandur,"north indian, chinese, biryani, mangalorean",500.0,2.9,16,Casual Dining,No,No
OMG Biriyani,Btm,Jayanagar,"biryani, andhra, chinese",600.0,3.4,16,Quick Bites,Yes,No
Food Feast Multicusine Restaurant,Bannerghatta Road,Bannerghatta Road,"north indian, chinese, hyderabadi",600.0,3.3,16,Quick Bites,No,No
JamayCafe,Kalyan Nagar,Kalyan Nagar,cafe,600.0,2.8,16,Cafe,No,No
99 Variety Dosa & Pav Bhaji,Koramangala 6Th Block,Koramangala 6Th Block,"south indian, north indian, street food",250.0,3.8,16,Quick Bites,Yes,No
Meal In A Box,Koramangala 7Th Block,Btm,street food,300.0,3.6,16,Delivery,No,No
Hungry Lion,Wilson Garden,Jayanagar,"street food, beverages",200.0,3.0,16,Quick Bites,No,No
Shree Udupi Grand,Jayanagar,Koramangala 7Th Block,"south indian, north indian, chinese",600.0,3.8,16,Casual Dining,Yes,No
CAMP TANDOOR,Ulsoor,Mg Road,north indian,300.0,3.7,16,Quick Bites,Yes,No
Chefie,Btm,Koramangala 4Th Block,"continental, fast food, italian, north indian",200.0,3.5,16,"Takeaway, Delivery",Yes,No
Agarwal Food Service,Hsr,Hsr,"north indian, chinese, biryani",400.0,3.5,16,Delivery,Yes,No
The Tower Of Pizza,Koramangala 5Th Block,Btm,"pizza, italian",500.0,2.9,16,Quick Bites,No,No
Nila Cafe,Bommanahalli,Hsr,"kerala, south indian",400.0,3.6,16,Quick Bites,No,No
Sugar N Spice,Kalyan Nagar,Kammanahalli,"fast food, beverages",400.0,2.7,16,Quick Bites,No,No
My Cafe,Electronic City,Electronic City,"north indian, chinese, fast food",350.0,3.6,16,Quick Bites,No,No
Tummy Delight,Btm,Koramangala 4Th Block,north indian,400.0,3.5,16,Quick Bites,No,No
Chote Miya,Frazer Town,Frazer Town,"mughlai, biryani, rolls",500.0,3.6,16,Quick Bites,No,No
Kadamba Classic,Mysore Road,Banashankari,south indian,300.0,3.6,16,Quick Bites,No,No
Ice Cubes,Indiranagar,Old Airport Road,"fast food, desserts, beverages",0.0,3.0,16,Quick Bites,No,No
Dream Scoopers,Kalyan Nagar,Kammanahalli,"ice cream, desserts",200.0,3.4,16,Dessert Parlor,No,No
Srinivasa Brahmins Bakery,Basavanagudi,Basavanagudi,"bakery, street food",150.0,3.6,16,"Bakery, Quick Bites",No,No
Curries And Pickles,Kaggadasapura,Marathahalli,"andhra, north indian, biryani",350.0,2.9,16,Quick Bites,Yes,No
Food Star,Kammanahalli,Kammanahalli,"north indian, chinese",500.0,3.2,16,Casual Dining,No,No
Bhaiyajees,Richmond Road,Residency Road,"north indian, south indian",300.0,3.7,16,"Takeaway, Delivery",No,No
The Street Kitchen,New Bel Road,Malleshwaram,"north indian, fast food, chinese, beverages",300.0,3.7,16,Quick Bites,Yes,No
Cream Factory,Rt Nagar,Frazer Town,desserts,400.0,3.5,16,Dessert Parlor,Yes,No
Hotel Darshan Paradise,Btm,Koramangala 7Th Block,"north indian, chinese",300.0,3.6,16,Quick Bites,Yes,No
BDBD Banashri Davangere Benne Dose Hotel,Vijay Nagar,Rajajinagar,south indian,150.0,3.7,16,Quick Bites,Yes,No
Karama Restaurant,"Varthur Main Road, Whitefield",Whitefield,arabian,400.0,3.6,16,"Takeaway, Delivery",Yes,No
Whooppeezz,Whitefield,Whitefield,pizza,500.0,3.4,16,Food Court,No,No
Desi Tadka,Electronic City,Electronic City,"north indian, chinese",300.0,3.0,16,Quick Bites,No,No
Al Madina Roll House,Kalyan Nagar,Kalyan Nagar,biryani,150.0,3.6,16,Quick Bites,Yes,No
Chaat Lounge,Yeshwantpur,Malleshwaram,"north indian, street food",300.0,3.0,16,"Food Court, Quick Bites",Yes,No
Lassi,Marathahalli,Brookefield,"beverages, juices, ice cream, sandwich, fast food",200.0,3.3,16,"Beverage Shop, Quick Bites",Yes,No
Kettle & Kegs,Electronic City,Electronic City,"tea, beverages",200.0,3.1,16,Delivery,Yes,No
Sandesh,Hennur,Kalyan Nagar,"mithai, street food",400.0,3.1,16,Sweet Shop,No,No
Biryani Times,Jp Nagar,Bannerghatta Road,biryani,300.0,3.5,16,Quick Bites,No,No
Lassi Cafe,Bannerghatta Road,Bannerghatta Road,"beverages, ice cream",150.0,3.4,16,Beverage Shop,Yes,No
S R Andhra Mess,Electronic City,Electronic City,andhra,200.0,3.3,16,Mess,No,No
Just Thindi,Basavanagudi,Basavanagudi,south indian,200.0,3.6,16,Quick Bites,Yes,No
Darshan Paradise Restaurant,Btm,Koramangala 5Th Block,"north indian, chinese",300.0,3.6,16,Quick Bites,Yes,No
Samprith Gowdru Mudde Hotel,Rammurthy Nagar,Kalyan Nagar,south indian,300.0,3.5,16,Quick Bites,Yes,No
Cake of the day,Basaveshwara Nagar,Rajajinagar,desserts,300.0,3.3,16,"Takeaway, Delivery",No,No
Al Ameen Rolls Corner,Kammanahalli,Kalyan Nagar,rolls,200.0,3.7,16,Quick Bites,No,No
Ghee Rice Family Restaurant,Wilson Garden,Koramangala 7Th Block,"north indian, chinese, biryani",600.0,3.4,16,Casual Dining,No,No
Lashiwalla,Marathahalli,Marathahalli,"beverages, juices",100.0,2.8,16,Beverage Shop,Yes,No
The Gujarat Express,Bannerghatta Road,Bannerghatta Road,"street food, mithai, north indian",250.0,3.1,16,"Quick Bites, Sweet Shop",Yes,No
Cravingz,Malleshwaram,Rajajinagar,"fast food, beverages",400.0,3.8,16,Food Court,No,No
Soham Bombay Masti Magic,Old Madras Road,Kammanahalli,street food,150.0,3.6,16,Quick Bites,Yes,No
Sri Ganesh Sweets,Basavanagudi,Basavanagudi,mithai,250.0,3.7,16,Sweet Shop,No,No
Juice Shop,Hsr,Koramangala 4Th Block,"juices, beverages, ice cream",150.0,3.7,16,"Takeaway, Delivery",Yes,No
Royal Beans,Yeshwantpur,New Bel Road,desserts,400.0,3.8,16,Delivery,No,No
Flying Cakes,Sarjapur Road,Sarjapur Road,"bakery, desserts",500.0,3.1,16,Bakery,Yes,No
Oyalo,Magadi Road,Rajajinagar,pizza,300.0,3.0,16,Quick Bites,Yes,No
Combo Studio,Bannerghatta Road,Bannerghatta Road,"north indian, biryani, chinese",500.0,3.1,16,Casual Dining,Yes,No
MRA,"Varthur Main Road, Whitefield",Marathahalli,bakery,200.0,3.7,16,"Takeaway, Delivery",Yes,No
Oyalo,Jalahalli,New Bel Road,pizza,300.0,3.4,16,Quick Bites,Yes,No
O2 Juice Bar,Marathahalli,Marathahalli,"juices, fast food",200.0,3.6,16,"Beverage Shop, Quick Bites",Yes,No
Kababish Restaurant,Btm,Koramangala 7Th Block,"north indian, chinese, arabian",700.0,3.6,16,,Yes,No
Blend - Royal Orchid Suites,Whitefield,Whitefield,"chinese, north indian",1300.0,3.4,16,Casual Dining,No,No
Udupi Sri Krishna Cafe,Jayanagar,Jayanagar,"north indian, south indian",600.0,0.0,16,Casual Dining,Yes,No
Hotel Raj,Majestic,Residency Road,"andhra, biryani",250.0,3.6,16,Quick Bites,No,No
Hare Krishna,Majestic,Rajajinagar,"north indian, south indian, chinese",300.0,2.9,16,Quick Bites,No,No
Indiana Burgers,Brookefield,Marathahalli,burger,300.0,3.1,16,Delivery,Yes,No
4 Mangoes,Old Airport Road,Old Airport Road,ice cream,200.0,3.7,16,Kiosk,No,No
Lassi Shop,New Bel Road,New Bel Road,"beverages, ice cream",200.0,3.6,16,"Beverage Shop, Dessert Parlor",No,No
Lassi Corner,Whitefield,Whitefield,"beverages, desserts",200.0,3.3,16,Beverage Shop,Yes,No
Kinara Tiffany,Vasanth Nagar,Lavelle Road,south indian,100.0,3.6,16,Quick Bites,No,No
Diletto,Bannerghatta Road,Bannerghatta Road,"north indian, chinese",800.0,3.5,16,Casual Dining,No,No
Swadist Pakhal Restaurant,Sarjapur Road,Sarjapur Road,"north indian, chinese, bengali",550.0,3.5,16,Casual Dining,Yes,No
Kanti Sweets,Electronic City,Electronic City,"mithai, street food",400.0,3.6,16,Sweet Shop,Yes,No
ILA Kitchen,Banaswadi,Kammanahalli,kerala,300.0,3.7,16,Quick Bites,Yes,No
Bake and Juice,Btm,Koramangala 7Th Block,"fast food, north indian",400.0,3.5,16,Quick Bites,Yes,No
Dakshin Kitchen,Basavanagudi,Basavanagudi,south indian,100.0,3.6,16,Quick Bites,No,No
KafeKombos,Hsr,Koramangala 4Th Block,"north indian, south indian, oriya",300.0,3.5,16,"Takeaway, Delivery",Yes,No
Just Bake,Magadi Road,Malleshwaram,bakery,400.0,3.4,16,Bakery,Yes,No
Ande Ka Funda,Electronic City,Electronic City,"north indian, fast food, rolls",200.0,3.4,16,Quick Bites,Yes,No
Shree Sagar,Yeshwantpur,New Bel Road,"south indian, north indian, chinese",450.0,2.9,16,Casual Dining,No,No
S L V Food Joint,Kalyan Nagar,Kammanahalli,"north indian, rolls",250.0,3.5,16,Quick Bites,Yes,No
Udupi Savi Thindi,Sarjapur Road,Sarjapur Road,"south indian, north indian, chinese",300.0,3.5,16,"Takeaway, Delivery",Yes,No
Panda Foods,Marathahalli,Old Airport Road,"north indian, juices",300.0,3.5,15,Quick Bites,Yes,No
Excelsior Bakery,Shivajinagar,Residency Road,bakery,100.0,3.6,15,Bakery,No,No
Dine One One Restaurant,Bannerghatta Road,Bannerghatta Road,"south indian, continental, north indian",500.0,3.6,15,Casual Dining,Yes,No
Velvet Kitchen,Bannerghatta Road,Bannerghatta Road,"north indian, chinese",600.0,3.5,15,Casual Dining,Yes,No
Bruncherz,Btm,Jayanagar,"north indian, chinese",200.0,3.5,15,Quick Bites,No,No
Thrupthi Restaurant,Bannerghatta Road,Jayanagar,kerala,150.0,3.4,15,Quick Bites,No,No
Swadisht Inn,Rajajinagar,Rajajinagar,"andhra, south indian, biryani, north indian, mangalorean",700.0,3.5,15,Casual Dining,No,No
FRYBIES,Bannerghatta Road,Bannerghatta Road,fast food,350.0,3.3,15,Quick Bites,Yes,No
FrostBite,Koramangala 5Th Block,Koramangala 5Th Block,"desserts, fast food",400.0,3.5,15,"Dessert Parlor, Quick Bites",No,No
Speedbreaker,Btm,Koramangala 7Th Block,north indian,300.0,3.4,15,Quick Bites,Yes,No
Kitchen24,Btm,Koramangala 7Th Block,"italian, continental, chinese, thai, american, arabian",300.0,3.4,15,Takeaway,Yes,No
Grits Cafe,Magadi Road,Rajajinagar,"fast food, bakery",300.0,3.6,15,Quick Bites,Yes,No
Cake Ghar,Basavanagudi,Banashankari,bakery,400.0,3.8,15,Bakery,Yes,No
Udupi South Saviruchi,Jalahalli,New Bel Road,"south indian, north indian, chinese, street food",250.0,3.7,15,Quick Bites,Yes,No
Cluxi,Kammanahalli,Kalyan Nagar,fast food,300.0,3.6,15,Quick Bites,No,No
Amnesia - The Poolside Bar,Residency Road,Church Street,"north indian, chinese, continental",2000.0,3.7,15,"Casual Dining, Bar",No,No
Tenco Infusions,Indiranagar,Mg Road,"beverages, salad",200.0,3.5,15,Beverage Shop,No,No
Banana Leaf,Marathahalli,Brookefield,"north indian, chinese, south indian",600.0,2.9,15,"Takeaway, Delivery",Yes,No
Pizza Baker's,Marathahalli,Brookefield,"pizza, burger, fast food, beverages",450.0,3.0,15,Quick Bites,Yes,No
The Open Cafe,Hsr,Hsr,"cafe, chinese, continental",500.0,3.7,15,Cafe,Yes,No
Juice Fresco,Nagawara,Kammanahalli,beverages,150.0,3.3,15,Beverage Shop,Yes,No
7 Star Biryani,Koramangala 6Th Block,Koramangala 7Th Block,biryani,250.0,3.2,15,,Yes,No
Tandoor Da Funda,Mg Road,Lavelle Road,north indian,350.0,3.6,15,Quick Bites,No,No
Dodda Mane Baaduta,Banashankari,Banashankari,"north indian, south indian, chinese, biryani",250.0,3.5,15,Quick Bites,Yes,No
Uma's Home Food,Marathahalli,Marathahalli,healthy food,300.0,3.6,15,Delivery,No,No
5th Main Cafe,Hsr,Hsr,"cafe, fast food",250.0,3.5,15,Cafe,No,No
Hit and Run,Central Bangalore,Lavelle Road,"fast food, continental",350.0,3.6,15,Food Truck,No,No
CakeBerries,Old Airport Road,Old Airport Road,"bakery, desserts",200.0,3.7,15,Bakery,No,No
Dabba Gosht,Hsr,Hsr,"arabian, middle eastern",400.0,3.4,15,"Takeaway, Delivery",Yes,No
Uphar Dharshni,Jayanagar,Basavanagudi,"south indian, north indian",150.0,3.6,15,Quick Bites,No,No
Sri Lakshmi Vaibhav,Marathahalli,Marathahalli,"south indian, north indian, chinese",500.0,3.7,15,Quick Bites,Yes,No
Nikhil's Food Court,Brookefield,Marathahalli,"south indian, north indian, chinese, fast food",300.0,3.4,15,Quick Bites,Yes,No
Paratha Darbar,Koramangala 1St Block,Koramangala 5Th Block,north indian,400.0,3.5,15,Quick Bites,Yes,No
Vijaya Sagar,Wilson Garden,Koramangala 7Th Block,"south indian, north indian, chinese",300.0,3.6,15,Quick Bites,No,No
Sri Annapoorna Bajji Center,Jayanagar,Jayanagar,"mithai, street food",100.0,3.9,15,"Sweet Shop, Quick Bites",No,No
Hungry Bird,Bellandur,Hsr,"north indian, chinese, biryani",400.0,3.6,15,Quick Bites,Yes,No
California Burrito,Marathahalli,Marathahalli,"mexican, fast food",400.0,3.8,15,"Food Court, Quick Bites",No,No
Cake Art,Basavanagudi,Banashankari,bakery,400.0,3.5,15,"Bakery, Quick Bites",No,No
Kolkatta Famous Kati Rolls,Old Airport Road,Indiranagar,"chinese, rolls",200.0,3.2,15,Quick Bites,No,No
Hotel Tanish,Hsr,Hsr,south indian,250.0,3.7,15,Quick Bites,Yes,No
Durga Bikaner Sweets,Jayanagar,Basavanagudi,"street food, mithai",100.0,3.7,15,Quick Bites,No,No
Jiyo Natural,South Bangalore,Old Airport Road,"healthy food, north indian",300.0,3.6,15,Delivery,No,No
The Village Hotel,Hsr,Koramangala 5Th Block,kerala,500.0,3.5,15,Quick Bites,Yes,No
Warm Oven,Brookefield,Marathahalli,"bakery, desserts",500.0,3.4,15,Bakery,Yes,No
S'Mack,Whitefield,Marathahalli,"rolls, sandwich",300.0,3.6,15,Quick Bites,Yes,No
Half & Half Food Box,Bellandur,Sarjapur Road,"north indian, chinese, biryani",500.0,3.0,15,Quick Bites,No,No
Khana Khazana,Electronic City,Electronic City,north indian,300.0,3.6,15,Quick Bites,Yes,No
Biryani Miya,Marathahalli,Marathahalli,"biryani, north indian",600.0,2.9,15,Delivery,Yes,No
The Purple Pan,New Bel Road,New Bel Road,"north indian, chinese",550.0,3.5,15,Quick Bites,Yes,No
Coffee Bike,Bellandur,Bellandur,"fast food, beverages",250.0,3.7,15,Kiosk,No,No
Amantrana,Magadi Road,Rajajinagar,"north indian, south indian",800.0,3.2,15,Casual Dining,No,No
Holige Mane,Rajajinagar,Malleshwaram,"mithai, desserts",100.0,3.6,15,Sweet Shop,No,No
B.M.W Bhookh Mitaane Wala,Jp Nagar,Jayanagar,"north indian, south indian, chinese",500.0,3.9,15,Quick Bites,Yes,No
Reddy's Naati Mane,Banaswadi,Kammanahalli,"south indian, bbq",400.0,3.4,15,Quick Bites,No,No
The French Loaf,Hsr,Hsr,"bakery, desserts, sandwich",400.0,3.1,15,"Bakery, Dessert Parlor",Yes,No
UBQ By Barbeque Nation,Rajajinagar,Rajajinagar,"north indian, bbq, biryani, kebab",450.0,3.4,15,Delivery,Yes,No
Bangaliana,Indiranagar,Mg Road,bengali,500.0,3.7,15,Quick Bites,Yes,No
Mira's Ranna-Ghor,Sarjapur Road,Sarjapur Road,bengali,250.0,3.6,15,Delivery,No,No
Coffee Thindi,Banaswadi,Kalyan Nagar,south indian,150.0,3.5,15,Quick Bites,No,No
Jodhpur Sweets,Majestic,Lavelle Road,"mithai, street food",250.0,3.7,15,Sweet Shop,No,No
Skanda Cafe,Hennur,Kalyan Nagar,"south indian, chinese, north indian",400.0,3.5,15,Quick Bites,No,No
Momos Corner,Bommanahalli,Hsr,"chinese, rolls, momos",250.0,3.1,15,Quick Bites,No,No
The Good Bowl,Kalyan Nagar,Kalyan Nagar,"italian, north indian, biryani",500.0,3.5,15,"Takeaway, Delivery",Yes,No
Ram Prasad Veg,Shivajinagar,Lavelle Road,south indian,150.0,3.7,15,Quick Bites,No,No
SVR Foods - Night Ka Khana,Jp Nagar,Btm,"north indian, south indian",400.0,3.5,15,Delivery,No,No
Coastal Curry,Vijay Nagar,Rajajinagar,"north indian, andhra, chinese, seafood",350.0,3.5,15,Quick Bites,Yes,No
Combo Box,Btm,Koramangala 4Th Block,"north indian, biryani, chinese",500.0,3.0,15,"Takeaway, Delivery",No,No
Starbucks,Kammanahalli,Kalyan Nagar,"cafe, desserts",700.0,3.8,15,Cafe,No,No
Frozen Bottle,Sarjapur Road,Sarjapur Road,"beverages, desserts, ice cream",400.0,3.6,15,Beverage Shop,Yes,No
Hotel Panchami Grand,New Bel Road,New Bel Road,"chinese, north indian, south indian",550.0,3.5,15,Casual Dining,No,No
Kolkata Roll & Fast Food,Hsr,Hsr,fast food,250.0,3.6,15,Quick Bites,No,No
Kanika Biryani Paradise,Bannerghatta Road,Bannerghatta Road,"north indian, andhra, biryani",700.0,3.4,15,Casual Dining,No,No
Aarti Paratha & Rolls Corner,New Bel Road,New Bel Road,"north indian, fast food",200.0,3.6,15,Quick Bites,Yes,No
NY Pizza And Waffles,Sarjapur Road,Sarjapur Road,"pizza, fast food",300.0,3.3,15,Quick Bites,Yes,No
21 C - La Marvella Sarovar Premiere Hotel,Jayanagar,Jayanagar,continental,1000.0,3.6,15,Casual Dining,No,No
Kloudish Kitchen,Hennur,Kammanahalli,"north indian, south indian",250.0,3.5,15,Delivery,Yes,No
Bake Land,Wilson Garden,Koramangala 7Th Block,bakery,150.0,3.2,15,Bakery,No,No
The Belgian Waffle Co.,Sahakara Nagar,New Bel Road,"desserts, beverages",350.0,3.7,15,Dessert Parlor,Yes,No
Shake it Off,Cv Raman Nagar,Marathahalli,"beverages, fast food",600.0,3.6,15,Beverage Shop,Yes,No
Fish Chain,Kammanahalli,Kammanahalli,"bbq, seafood, fast food",300.0,3.5,15,Quick Bites,Yes,No
Sri Vishnu Veg,Marathahalli,Sarjapur Road,south indian,200.0,3.5,15,Quick Bites,Yes,No
Eat & Drink,New Bel Road,New Bel Road,"fast food, chinese, beverages",300.0,3.5,15,"Quick Bites, Beverage Shop",Yes,No
Sankranthi Veg,Thippasandra,Marathahalli,"south indian, north indian, chinese",200.0,3.1,15,Quick Bites,No,No
Panchami,Banashankari,Banashankari,"north indian, chinese",300.0,3.0,15,Quick Bites,No,No
Halli Sogasu,Bannerghatta Road,Bannerghatta Road,"south indian, andhra",600.0,3.0,15,Casual Dining,No,No
Mist n Creams,Bannerghatta Road,Bannerghatta Road,ice cream,400.0,3.7,15,Dessert Parlor,Yes,No
Rotti Mane,Jayanagar,Jayanagar,south indian,200.0,3.7,15,Quick Bites,No,No
Cane Crussh,Koramangala 6Th Block,Hsr,juices,100.0,3.7,15,Beverage Shop,Yes,No
Chaat Express,Hsr,Sarjapur Road,"fast food, north indian",200.0,3.4,15,Quick Bites,Yes,No
The Good Bowl,Indiranagar,Old Airport Road,"italian, north indian, biryani",500.0,3.7,15,"Takeaway, Delivery",Yes,No
Meat And Eat,Btm,Btm,"fast food, burger",500.0,3.1,15,Quick Bites,Yes,No
Basveshwara Khaanavali,Electronic City,Electronic City,south indian,150.0,3.5,15,Quick Bites,No,No
CakeZone,Jp Nagar,Jp Nagar,"bakery, desserts",200.0,3.7,15,"Takeaway, Delivery",Yes,No
G8 Punjabi Tadka,New Bel Road,New Bel Road,north indian,200.0,3.7,15,Quick Bites,No,No
Cane Recipes,Bannerghatta Road,Jayanagar,juices,100.0,3.5,14,Quick Bites,No,No
Parimala Sweets,Banashankari,Banashankari,"mithai, street food",200.0,3.5,14,Sweet Shop,No,No
Daily Bite,Richmond Road,Koramangala 7Th Block,"desserts, fast food",250.0,3.5,14,Quick Bites,Yes,No
